Weather Name,Weather Effects (if any),Weather Rarity,Temp Range (Celsius),PA Grammo Announcement
Sunny Skies,None,Very Common,15 to 25,BE-e-eaUTIFUL SUNNY ski-i-ies today! Ha-a-ave some F-F-FUN IN the SU-u-UN!
Chilly Drizzles,None,Very Common,0 to 10,"Chills and DRI-I-IZZLES, oh MY! Wha-a-at a lovely day to co-o-ome to the Archives for s-s-some COZY READING! The-e-ere WILL be tre-e-eacle pie!"
Lingering Chills,None,Very Common,0 to 10,CHI-I-ILLY toda-ay! Buuu-u-undle up a-as temp-e-e-eratures d-drrrop!
Cloudy Skies,None,Very Common,10 to 25,"O-O-Overcast skies toda-a-ay! O-oh SUN, whe-e-ere art thou!"
Windy,None,Very Common,10 to 25,WHE-E-EE! The wi-i-ind's got quite the SPR-R-RING in its step toda-a-ay! Hold onto your ha-a-ats and scarves!
Breezy and Sunny,None,Very Common,10 to 25,LO-O-OVELY day for a pi-i-icnic! I'd LOVE to join if I weren't ma-a-agically bound to the ARCHIVES fo-o-or my foreseeable li-i-ifespan!
Balmy,None,Very Common,15 to 25,Waaaa-a-arm! And lo-o-ovely! WHAT mo-o-ore could you ask for??
Humid,None,Very Common,10 to 25,"W-w-w-w-wet, wet, wet! Floors are sli-i-ippery, air is STICKY! CIRCUITS TRI-I-IPPY!"
Warm Drizzles,None,Very Common,10 to 25,"Rai-ai-ain, rain GO a-a-away! BUT! Could be worse! It could be raining acid! The-e-e ground co-ou-ou-ould unleash A-A-A swarm of deadly BEASTS! I LO-O-Ove being positive!"
Spring Rains,None,Very Common,10 to 25,LO-O-OVELY wa-a-arm spring rai-ains are here to li-ightly moisten your person to-o-oday! *Off mic:* whaddya mean tha-a-at's a weird thing to say?
Fog,None,Common,0 to 10,To-o-oday's gonna be a FO-O-OGGY da-a-ay! Ca-areful! Don-n-n't bu-ump into anyone!
Heavy Rains,None,Common,10 to 25,H-Heavy ra-a-ains WILL be ABSOLUTELY p-p-pelting one and a-a-all citizens of FORTIS Caste-e-ellum today! I'd peeersona-a-ally recommend the TABAX-I-I-Is to stay indoors!
Warm Winds,None,Common,10 to 25,"Ge-e-entle, WA-A-ARM breezes toda-a-ay! Perfect for a stro-o-oll through the ci-i-ity!"
Chilly Winds,None,Common,0 to 10,A sli-i-ight chill in the bree-ee-eeze today!
Sparse Snowfall,None,Common,0 to 10,"Snow, snow, snow! But not e-e-enough for a SNOWMAN, sno-o-owANGEL or even a snowMOUSE! Bummer..."
Dark Clouds,None,Common,10 to 25,The sk-sk-sky looks MOODY to-to-today...
Frosty,None,Common,-5 to 5,"BRR-RRRRR! FRIG-G-GID to-o-oday! Bundle-undle-undle up, everyone!"
Thunderstorm,None,Uncommon,10 to 25,"Oh me-e-e oh MY-y-y, e-everyone stay i-i-indoors today as we have a THUNDERSTO-O-ORM rrrrampaging the be-e-eautiful decrepit stree-ee-eets of Fortis Castellum today! Although this also ma-a-akes for PERRRFECT re-eading weather. JA-A-AZZ NIGHT i-i-in the A-A-Archives to-onight!"
Blistering Winds,"Roll a DC 8 strength saving throw every time you step outside. On failure, you are knocked prone.",Uncommon,10 to 25,"H-H-HOLD O-O-on to your s-s-socks, shields and swo-o-ords!I-i-it's like a PA-A-ARTY out he-e-ere! If a pa-a-arty was just a who-o-ole lotta WIND!"
Pollen Barrage,"Roll a DC 10 constitution saving throw every time you step outside. On failure, you are overtaken by an urge to sneeze uncontrollably!",Uncommon,10 to 25,"BEE-ware, tho-o-ose with pollen allergi-i-ies! There's POlle-llen here, POLLEN th-th-there! POLLEN in my DISC DRIVE! Please se-e-end help!"
